college_name,college_type,financial_aid,major,roi,total_cost
University of Arkansas(In-State),instate,,art,90600,93100
Oberlin College(Private),private,,art,90300,262000
Pacific Lutheran University(Private),private,,art,90100,204000
University of Wisconsin-Green Bay(In-State),instate,,art,89300,74200
The Evergreen State College(In-State),instate,,art,88800,88600
Auburn University(Out-of-State),outofstate,,art,88200,184000
Southern Methodist University(Private),private,,art,87600,262000
Ringling College of Art and Design(Private),private,,art,87400,240000
The University of Montana(In-State),instate,,art,87200,75700
University of Northern Colorado(Out-of-State),outofstate,,art,87100,135000
St Olaf College(Private),private,,art,86400,216000
University of Alabama at Birmingham(Out-of-State),outofstate,,art,86300,136000
Luther College(Private),private,,art,86200,202000
University of Rhode Island(Out-of-State),outofstate,,art,86100,174000
Otterbein University(Private),private,,art,85800,180000
SUNY College at Potsdam(Out-of-State),outofstate,,art,85700,128000
Southern Illinois University-Edwardsville(In-State),instate,,art,85700,93500
University of North Florida(In-State),instate,,art,85500,84000
Sam Houston State University(In-State),instate,,art,84900,82500
Mississippi State University(In-State),instate,,art,84500,90800
John Brown University(Private),private,,art,84300,145000
Humboldt State University(In-State),instate,,art,84000,92700
University of South Florida-Main Campus(In-State),instate,,art,83200,84200
University of Nevada-Las Vegas(Out-of-State),outofstate,,art,83100,145000
Old Dominion University(In-State),instate,,art,81800,94000
The University of Texas at San Antonio(In-State),instate,,art,81500,85500
Bowling Green State University-Main Campus(In-State),instate,,art,80900,96200
Florida State University(In-State),instate,,art,80800,87800
University of Pittsburgh-Pittsburgh Campus(In-State),instate,,art,80700,130000
Shepherd University(Out-of-State),outofstate,,art,80000,120000
University of Mississippi(Out-of-State),outofstate,,art,79900,143000
New Mexico State University-Main Campus(Out-of-State),outofstate,,art,79200,129000
Kansas State University(In-State),instate,,art,79000,89900
Texas A & M University-Commerce(Out-of-State),outofstate,,art,79000,114000
Flagler College-St Augustine(Private),private,,art,78400,123000
Portland State University(Out-of-State),outofstate,,art,77500,158000
Loyola University New Orleans(Private),private,,art,77400,212000
Oklahoma State University-Main Campus(Out-of-State),outofstate,,art,76400,141000
Southeast Missouri State University(Out-of-State),outofstate,,art,76200,101000
Texas State University(Out-of-State),outofstate,,art,76100,125000
