major,college_name,college_type,financial_aid,roi,total_cost
art,University of Wisconsin-Stout(Out-of-State),outofstate,1.0,149000,108000
art,Endicott College(Private),private,1.0,148000,189000
art,University of Missouri-Kansas City(In-State),instate,1.0,148000,98200
art,Ohio State University-Main Campus(Out-of-State),outofstate,1.0,147000,170000
art,University of North Carolina School of the Arts(Out-of-State),outofstate,1.0,146000,150000
art,Mount Mary University(Private),private,1.0,145000,163000
art,University of Georgia(Out-of-State),outofstate,1.0,145000,169000
art,University of Maryland-Baltimore County(Out-of-State),outofstate,1.0,145000,153000
art,Rowan University(Out-of-State),outofstate,1.0,144000,145000
art,Northern Illinois University(Out-of-State),outofstate,1.0,143000,152000
art,University of Wisconsin-Eau Claire(Out-of-State),outofstate,1.0,143000,107000
art,Wheaton College (Massachusetts)(Private),private,1.0,143000,244000
art,Indiana University-Purdue University-Indianapolis(In-State),instate,1.0,142000,88200
art,Maryland Institute College of Art(Private),private,1.0,142000,232000
art,University of Denver(Private),private,1.0,142000,236000
art,University of North Texas(Out-of-State),outofstate,1.0,142000,123000
art,Eastern Illinois University(Out-of-State),outofstate,1.0,141000,134000
art,Northern Michigan University(In-State),instate,1.0,141000,84600
art,Portland State University(In-State),instate,1.0,141000,94700
art,Towson University(Out-of-State),outofstate,1.0,141000,144000
art,Colorado State University-Fort Collins(Out-of-State),outofstate,1.0,140000,162000
art,Sonoma State University(Out-of-State),outofstate,1.0,139000,141000
art,University of Nevada-Las Vegas(In-State),instate,1.0,139000,89700
art,University of Utah(Out-of-State),outofstate,1.0,139000,159000
art,Western Illinois University(Out-of-State),outofstate,1.0,139000,118000
art,Cornish College of the Arts(Private),private,1.0,138000,207000
art,University of Florida(Out-of-State),outofstate,1.0,137000,171000
art,University of Hawaii at Manoa(In-State),instate,1.0,137000,107000
art,California State University-Los Angeles(In-State),instate,1.0,136000,93100
art,Columbus College of Art and Design(Private),private,1.0,136000,179000
art,Plymouth State University(Out-of-State),outofstate,1.0,136000,141000
art,University of Kansas(Out-of-State),outofstate,1.0,135000,158000
art,Carleton College(Private),private,1.0,134000,254000
art,Louisiana State University and Agricultural & Mechanical College(In-State),instate,1.0,134000,102000
art,Ferris State University(Out-of-State),outofstate,1.0,133000,115000
art,New Mexico State University-Main Campus(In-State),instate,1.0,133000,75600
art,State University of New York at New Paltz(Out-of-State),outofstate,1.0,133000,129000
art,The College of Saint Rose(Private),private,1.0,133000,177000
art,The University of Alabama(In-State),instate,1.0,133000,111000
