state_name,college_name,college_type,roi,total_cost,grad_rate,yrs2grad,financial_aid,loan_amt,perc_grant
ARKANSAS,University of the Ozarks(Private),private,153000,146000,42,4,1.0,40800,45
ARKANSAS,University of Arkansas at Monticello(Out-of-State),outofstate,138000,92500,22,5,1.0,20700,71
ARKANSAS,Lyon College(Private),private,137000,143000,39,4,1.0,27800,50
ARKANSAS,Southern Arkansas University Main Campus(In-State),instate,134000,82800,35,5,1.0,21000,61
ARKANSAS,Henderson State University(In-State),instate,132000,79900,34,5,1.0,21400,57
ARKANSAS,Southern Arkansas University Main Campus(Out-of-State),outofstate,120000,96700,35,5,1.0,21000,61
ARKANSAS,University of Arkansas at Pine Bluff(In-State),instate,119000,69800,24,5,1.0,23600,75
ARKANSAS,Henderson State University(Out-of-State),outofstate,106000,106000,34,5,1.0,21400,57
ARKANSAS,University of Arkansas at Pine Bluff(Out-of-State),outofstate,95400,93100,24,5,1.0,23600,75
ARKANSAS,Philander Smith College(Private),private,35400,102000,40,5,1.0,26400,79
ARKANSAS,University of Arkansas(In-State),instate,374000,93100,64,4,0.0,N/A,N/A
ARKANSAS,University of Arkansas(Out-of-State),outofstate,323000,144000,64,4,0.0,N/A,N/A
ARKANSAS,University of Arkansas at Little Rock(In-State),instate,202000,90800,30,6,0.0,N/A,N/A
ARKANSAS,John Brown University(Private),private,201000,145000,65,4,0.0,N/A,N/A
ARKANSAS,University of Arkansas-Fort Smith(In-State),instate,191000,68800,26,5,0.0,N/A,N/A
ARKANSAS,Harding University(Private),private,185000,112000,64,4,0.0,N/A,N/A
ARKANSAS,Arkansas Tech University(In-State),instate,183000,69000,35,5,0.0,N/A,N/A
ARKANSAS,University of Central Arkansas(In-State),instate,182000,80400,42,5,0.0,N/A,N/A
ARKANSAS,Arkansas State University-Main Campus(In-State),instate,180000,85200,45,5,0.0,N/A,N/A
ARKANSAS,University of Arkansas-Fort Smith(Out-of-State),outofstate,167000,93100,26,5,0.0,N/A,N/A
ARKANSAS,Arkansas Tech University(Out-of-State),outofstate,162000,89200,35,5,0.0,N/A,N/A
ARKANSAS,University of Arkansas at Little Rock(Out-of-State),outofstate,160000,133000,30,6,0.0,N/A,N/A
ARKANSAS,University of Central Arkansas(Out-of-State),outofstate,158000,104000,42,5,0.0,N/A,N/A
ARKANSAS,Arkansas State University-Main Campus(Out-of-State),outofstate,157000,109000,45,5,0.0,N/A,N/A
ARKANSAS,Ouachita Baptist University(Private),private,149000,137000,70,4,0.0,N/A,N/A
ARKANSAS,University of Arkansas at Monticello(In-State),instate,131000,69000,22,5,0.0,N/A,N/A
ARKANSAS,University of Arkansas at Monticello(Out-of-State),outofstate,108000,92500,22,5,0.0,N/A,N/A
ARKANSAS,Southern Arkansas University Main Campus(In-State),instate,98500,82800,35,5,0.0,N/A,N/A
ARKANSAS,Hendrix College(Private),private,94800,221000,69,4,0.0,N/A,N/A
ARKANSAS,Henderson State University(In-State),instate,93400,79900,34,5,0.0,N/A,N/A
ARKANSAS,Southern Arkansas University Main Campus(Out-of-State),outofstate,84700,96700,35,5,0.0,N/A,N/A
ARKANSAS,University of Arkansas at Pine Bluff(In-State),instate,77700,69800,24,5,0.0,N/A,N/A
ARKANSAS,University of the Ozarks(Private),private,76100,146000,42,4,0.0,N/A,N/A
ARKANSAS,Henderson State University(Out-of-State),outofstate,67500,106000,34,5,0.0,N/A,N/A
ARKANSAS,Lyon College(Private),private,62500,143000,39,4,0.0,N/A,N/A
ARKANSAS,University of Arkansas at Pine Bluff(Out-of-State),outofstate,54400,93100,24,5,0.0,N/A,N/A
ARKANSAS,Philander Smith College(Private),private,-2100,102000,40,5,0.0,N/A,N/A
CALIFORNIA,Harvey Mudd College(Private),private,1114000,272000,93,4,1.0,25500,11
CALIFORNIA,California Institute of Technology(Private),private,1033000,250000,94,4,1.0,30900,11
CALIFORNIA,Stanford University(Private),private,1002000,255000,94,4,1.0,32200,13
CALIFORNIA,The California Maritime Academy(In-State),instate,866000,87700,62,4,1.0,28600,23
CALIFORNIA,University of California-Berkeley(In-State),instate,833000,139000,92,4,1.0,23900,23
CALIFORNIA,The California Maritime Academy(Out-of-State),outofstate,822000,132000,62,4,1.0,28600,23
CALIFORNIA,Claremont McKenna College(Private),private,747000,262000,93,4,1.0,23900,13
CALIFORNIA,Santa Clara University(Private),private,743000,251000,89,4,1.0,26400,9
CALIFORNIA,University of California-Berkeley(Out-of-State),outofstate,736000,236000,92,4,1.0,23900,23
CALIFORNIA,California Polytechnic State University-San Luis Obispo(In-State),instate,722000,100000,80,5,1.0,22500,11
CALIFORNIA,University of California-San Diego(In-State),instate,711000,125000,87,4,1.0,22800,26
CALIFORNIA,California Polytechnic State University-San Luis Obispo(Out-of-State),outofstate,677000,145000,80,5,1.0,22500,11
CALIFORNIA,University of California-Los Angeles(In-State),instate,634000,133000,91,4,1.0,25300,30
CALIFORNIA,San Jose State University(In-State),instate,632000,102000,62,5,1.0,22600,39
CALIFORNIA,University of California-San Diego(Out-of-State),outofstate,614000,223000,87,4,1.0,22800,26
CALIFORNIA,University of Southern California(Private),private,608000,264000,92,4,1.0,29800,17
CALIFORNIA,University of California-Santa Barbara(In-State),instate,588000,139000,82,4,1.0,20800,39
CALIFORNIA,San Jose State University(Out-of-State),outofstate,587000,147000,62,5,1.0,22600,39
CALIFORNIA,University of California-Irvine(In-State),instate,586000,127000,87,4,1.0,21900,41
CALIFORNIA,California State Polytechnic University-Pomona(In-State),instate,584000,98300,69,5,1.0,22900,43
CALIFORNIA,University of California-Davis(In-State),instate,567000,136000,85,5,1.0,21500,34
CALIFORNIA,University of San Francisco(Private),private,565000,244000,72,4,1.0,32000,24
CALIFORNIA,Pomona College(Private),private,553000,255000,97,4,1.0,23800,22
CALIFORNIA,Saint Mary's College of California(Private),private,546000,242000,73,4,1.0,32100,23
CALIFORNIA,California State Polytechnic University-Pomona(Out-of-State),outofstate,540000,143000,69,5,1.0,22900,43
CALIFORNIA,University of California-Los Angeles(Out-of-State),outofstate,537000,230000,91,4,1.0,25300,30
CALIFORNIA,California State University-East Bay(In-State),instate,514000,93500,48,5,1.0,21700,54
CALIFORNIA,University of the Pacific(Private),private,513000,239000,68,4,1.0,30000,33
CALIFORNIA,California State University-Chico(In-State),instate,491000,92100,69,5,1.0,21900,46
CALIFORNIA,University of California-Santa Barbara(Out-of-State),outofstate,491000,236000,82,4,1.0,20800,39
CALIFORNIA,University of California-Irvine(Out-of-State),outofstate,489000,224000,87,4,1.0,21900,41
CALIFORNIA,Menlo College(Private),private,487000,223000,53,4,1.0,29200,35
CALIFORNIA,University of Redlands(Private),private,473000,247000,74,4,1.0,33300,30
CALIFORNIA,University of California-Davis(Out-of-State),outofstate,470000,233000,85,5,1.0,21500,34
CALIFORNIA,California State University-East Bay(Out-of-State),outofstate,469000,138000,48,5,1.0,21700,54
CALIFORNIA,Loyola Marymount University(Private),private,467000,239000,83,4,1.0,34500,18
CALIFORNIA,San Francisco State University(In-State),instate,458000,97900,53,5,1.0,21800,48
CALIFORNIA,University of California-Riverside(In-State),instate,452000,133000,73,5,1.0,22600,53
CALIFORNIA,Pepperdine University(Private),private,449000,259000,87,4,1.0,37300,18
CALIFORNIA,California College of the Arts(Private),private,447000,237000,60,4,1.0,31100,30
CALIFORNIA,California State University-Chico(Out-of-State),outofstate,446000,137000,69,5,1.0,21900,46
CALIFORNIA,California State University-Sacramento(In-State),instate,446000,95700,49,5,1.0,20500,54
CALIFORNIA,University of San Diego(Private),private,444000,243000,78,4,1.0,29300,13
CALIFORNIA,California State University-Fresno(In-State),instate,441000,80800,57,5,1.0,19000,64
CALIFORNIA,San Diego State University(In-State),instate,441000,105000,73,5,1.0,26000,28
CALIFORNIA,University of California-Santa Cruz(In-State),instate,439000,138000,77,4,1.0,23400,36
CALIFORNIA,California State University-Long Beach(In-State),instate,434000,91400,69,5,1.0,21600,48
CALIFORNIA,California State University-Northridge(In-State),instate,431000,85400,50,5,1.0,18800,63
CALIFORNIA,California State University-Fullerton(In-State),instate,419000,100000,62,5,1.0,22400,46
